#,Project,Tracker,Parent task,Status,Priority,Subject,Author,Assigned To,Updated,Category,Target version,Start date,Due date,Estimated time,% Done,Created,Story points,Velocity based estimate,Position,Remaining (hours),Sprint,Branch,Tags,Description
10961,Semantic Web Integration (v5),Story,"",Accepted,Should have,As Robin I want to have my outputted HTML automatically tagged with RDFa,Jochen Rau,"",2010-11-19 09:37,"","","","","",0,2010-11-19 09:37,"","",2915100,"","","","",""
10962,Semantic Web Integration (v5),Story,"",Accepted,Should have,As Roger I want to use an API to query SPARQL endpoints,Jochen Rau,"",2010-11-19 09:37,"","","","","",0,2010-11-19 09:37,"","",2915050,"","","","",""
10963,Semantic Web Integration (v5),Story,"",Accepted,Should have,As Roger I want to use an API to store and retrieve RDF triples,Jochen Rau,"",2010-11-19 09:37,"","","","","",0,2010-11-19 09:37,"","",2915000,"","","","",""
10964,Semantic Web Integration (v5),Story,"",Accepted,Should have,As Margarete I want to tag my content with minimal distraction,Jochen Rau,"",2010-11-19 09:38,"","","","","",0,2010-11-19 09:38,"","",2914950,"","","","",""
10965,Semantic Web Integration (v5),Story,"",Accepted,Should have,"As Robin I want to use existing ontologies (like dbpedia, GoodRelations)",Jochen Rau,"",2010-11-19 09:38,"","","","","",0,2010-11-19 09:38,"","",2914900,"","","","",""
10966,Semantic Web Integration (v5),Story,"",Accepted,Should have,"As Margarete I want to easily find related content (by author, date, keyword ...)",Jochen Rau,"",2010-11-19 09:38,"","","","","",0,2010-11-19 09:38,"","",2914850,"","","","",""
10967,Semantic Web Integration (v5),Story,"",Accepted,Should have,As Robin I want to enable page visitors to search for concepts rather than for terms,Jochen Rau,"",2010-11-19 09:38,"","","","","",0,2010-11-19 09:38,"","",2914800,"","","","",""
10968,Semantic Web Integration (v5),Story,"",Accepted,Should have,"As Roger I want to serialize RDF graphs in different formats (Trutle, RDF/XML)",Jochen Rau,"",2010-11-19 09:39,"","","","","",0,2010-11-19 09:38,"","",2914750,"","","","",""
10969,Semantic Web Integration (v5),Story,"",Accepted,Should have,As Robin I want to import existing graphs into the local triple store,Jochen Rau,"",2010-11-19 09:39,"","","","","",0,2010-11-19 09:39,"","",2914700,"","","","",""
10970,Semantic Web Integration (v5),Story,"",Accepted,Should have,As Robin I want to map my content objects an properties to existing vocabularies (Person.name -> foaf:name),Jochen Rau,"",2010-11-19 09:39,"","","","","",0,2010-11-19 09:39,"","",2914650,"","","","",""
10971,Semantic Web Integration (v5),Story,"",Accepted,Should have,As Roger I want to have a schema for URIs to make them dereferencable,Jochen Rau,"",2010-11-19 09:40,"","","","","",0,2010-11-19 09:40,"","",2914600,"","","","",""
