#,Project,Tracker,Parent task,Status,Priority,Subject,Author,Assigned To,Updated,Category,Target version,Start date,Due date,Estimated time,% Done,Created,Story points,Velocity based estimate,Position,Remaining (hours),Description
4156,TYPO3.ExtJS,Feature,"",Resolved,Must have,Update to v3,Tommy Seus,Karsten Dambekalns,2010-10-20 05:40,ExtJS,3.0.0,2009-08-05,"","",100,2009-08-05 11:21,"","",2385250,"",Could you please update to Version 3 of ExtJS?
6119,TYPO3.ExtJS,Task,"",Resolved,Should have,Update to upstream 3.1.0,Karsten Dambekalns,Karsten Dambekalns,2010-10-20 05:40,ExtJS,3.1.0,2010-01-20,"","",100,2010-01-20 05:02,"","",26450,"",.
6667,TYPO3.ExtJS,Bug,"",Resolved,Should have,ExtJS ViewHelper are not working,Erik Frister,Karsten Dambekalns,2010-10-20 05:40,ViewHelper,"",2010-03-03,"",1.00,100,2010-03-02 23:26,"","",2385200,"","Both ViewHelpers (IncludeViewHelper and UxViewHelper) are not working properly. The path to the CSS/JS files is broken. The files reside under ""_Resources/Static/Packages"" instead of ""Resources/Packages"". The paths have to be corrected."
6823,TYPO3.ExtJS,Feature,"",Resolved,Should have,Implement an Ext Direct router for FLOW3,Christopher Hlubek,Christopher Hlubek,2010-10-20 05:40,ExtDirect,"",2010-03-14,"","",100,2010-03-14 10:44,"","",2385150,"","There should be a special Ext Direct router for the FLOW3 MVC.

The router should dispatch Ext Direct transactions to multiple controller actions. This should be transparent for the controller action."
9279,TYPO3.ExtJS,Bug,"",Resolved,Should have,Optional arguments are not supported,Robert Lemke,Robert Lemke,2010-10-20 05:40,ExtDirect,"",2010-08-12,"","",100,2010-08-12 10:48,"","",2385100,"","The ProviderViewHelper registers all controller actions which are annotated with @extdirect. For correct handling within ExtJS, the number of arguments for each action must be registered as well. 

Now the problem is that the ProviderViewHelper just counts the number of arguments of a PHP method and uses this number as an argument count for ExtJS. If, however, an argument is optional and the client side doesn't define that argument, the communication between client and server through ExtDirect fails.

The solution, for now, is to just ignore optional arguments."
9323,TYPO3.ExtJS,Bug,"",Resolved,Should have,Number of arguments of ExtDirect provider actions are registered incorrectly,Robert Lemke,Robert Lemke,2010-10-20 05:40,ExtDirect,"",2010-08-16,"","",100,2010-08-16 07:18,"","",2385050,"",PHP methods annotated with @extdirect are registered as Providers by the ProviderViewHelper. Currently there's a bug in the calculation of the number of required arguments which leads to methods with zero required arguments not being registered correctly.
10248,TYPO3.ExtJS,Task,"",Resolved,Should have,Upgrade package to Ext JS 3.3,Nils Dehl,Karsten Dambekalns,2011-05-06 05:25,ExtJS,"",2010-10-14,"","",100,2010-10-14 04:02,"","",54550,"","Ext JS 3.3 stable is released.
[[http://www.sencha.com/products/js/download.php]]

we should upgrade the package to this new main version of extjs.
 "
25867,TYPO3.ExtJS,Bug,"",Closed,Must have,German 'Umlaute' in a MySQL table-field makes ExtDirect throw an error,Regine Rosewich,Karsten Dambekalns,2012-07-13 10:18,ExtDirect,"",2011-04-10,"","",100,2011-04-10 13:13,"","",2385000,"","When a table-field in a MySQL Database (Collation utf-8-general-ci) contains a German 'Umlaut' an ExtDirect-Request fails with the following error:
<pre>
#1: Warning: json_encode() [<a href='function.json-encode'>function.json-encode</a>]: Invalid UTF-8 sequence in argument in /Applications/MAMP/htdocs/FLOW3/Data/Temporary/Development/Cache/Code/FLOW3_Object_Classes/F3_ExtJS_ExtDirect_RequestHandler_Original.php line 170 (More information)
</pre>

For me UTF-8 means that German 'Umlaute' should not be any problem."
26530,TYPO3.ExtJS,Bug,"",On Hold,Must have,Unique-Constraint Errors are not handled by an ExtDirect Request,Regine Rosewich,"",2014-10-01 06:34,ExtDirect,"",2011-05-01,"","",0,2011-05-01 05:00,"","",103950,"","Though it is possible to add unique-constraints to a table with the doctrine 2 ORM (and that works really fine), errors thrown when trying to add duplicate values to a unique-constraint property are not handled by an ExtDirect Request. (Such transactions give back ""Succes: true"").

Any errors of the doctrine 2 ORM should at least throw a ""Success: false"" in an ExtDirect-Request."
27663,TYPO3.ExtJS,Bug,"",Resolved,Should have,"Fatal error class ""F3\ExtJS\ExtDirect\Exception\InvalidExtRequestException"" not found",Michael Klapper,"",2012-07-13 10:13,ExtDirect,"",2011-06-23,"","",100,2011-06-23 07:07,"","",157850,"","If an invalid request is send to the server like the following:

*Post data*
<pre>
{""action"":""Events_Controller_EventController"",""method"":""update"",""data"":[undefined],""type"":""rpc"",""tid"":4}
</pre>

*Fatal error*
<pre>
Fatal error: Class 'F3\ExtJS\ExtDirect\Exception\InvalidExtRequestException' not found in /var/www/events/Data/Temporary/Development/Cache/Code/FLOW3_Object_Classes/F3_ExtJS_ExtDirect_RequestBuilder_Original.php on line 88
</pre>

*Solution*
Just rename the exception _InvalidExtRequestException_ into _InvalidExtDirectRequestException_ since the name of the exception was changed."
27665,TYPO3.ExtJS,Task,"Story #41101: As user, I want a well-working content editing (Bugfix Story)",Resolved,Should have,Exception of thrown in TYPO3\ExtJS\ExtDirect\RequestHandler::buildJsonRequest() not caught,Michael Klapper,Karsten Dambekalns,2012-12-07 09:35,ExtDirect,"",2011-06-23,"","",100,2011-06-23 08:12,"","",157950,"","If i got an Exception from @TYPO3\ExtJS\ExtDirect\RequestHandler::buildJsonRequest()@ method there is no try catch around the method call to catch the Exception.

The problem on this is that i'm not able to show a error message if such thing happend...

The Exception could be caught in @TYPO3\ExtJS\ExtDirect\RequestHandler::handleRequest()@ and converted to a valid JSON formatted object."
32821,TYPO3.ExtJS,Bug,"",Resolved,Must have,ExtDirect Request Handler needs to be adjusted to refactored Bootstrap,Sebastian Kurfuerst,Sebastian Kurfuerst,2011-12-23 09:53,ExtDirect,"",2011-12-23,"","",0,2011-12-23 09:24,"","",408300,"",ExtDirect Request Handler needs to be adjusted to refactored Bootstrap
