#,Project,Tracker,Parent task,Status,Priority,Subject,Author,Assigned To,Updated,Category,Target version,Start date,Due date,Estimated time,% Done,Created,Story points,Velocity based estimate,Position,Remaining (hours),Affected Flow version,Description
2408,TYPO3.Flow,Feature,"",Resolved,Should have,Automatic flushing of object configuration cache,Robert Lemke,Robert Lemke,2010-10-20 05:39,Object,1.0 alpha 1,2009-01-05,"","",100,2009-01-05 10:16,"","",1792750,"","",Similar to the automatic flushing of the Reflection Cache (or parts of it) the object configuration cache should be rebuilt whenever a class is modified - at least in the development context.
2444,TYPO3.Flow,Task,"",Rejected,Must have,Refactor Request -> Remove *ObjectNamePattern,Sebastian Kurfuerst,Sebastian Kurfuerst,2010-10-20 05:39,MVC,"",2009-01-11,"",5.00,0,2009-01-11 11:21,"","",12450,"","","We should refactor the MVC_Request, to move all logic out of it.

This means the following:
* Drop $controllerObjectNamePattern (and getters/setters for it)
* Drop $viewObjectNamePattern (and getters/setters for it)
* Presumably, a lot of other stuff can be removed as well due to that refacoring.
* Introduce a new $fullyQualifiedControllerObjectName (including setters/getters) which contains fully qualified Controller name, such as F3\MyPackage\MySubPackage\Controller\SomeController
* Analogous for $fullyQualifiedViewObjectName

The fullyQualifiedControllerName is being set by the MVC\Web\Routing\Router.
"
2454,TYPO3.Flow,Task,"",Resolved,Must have,Change license name in @license-tag to correct naming,Malte Jansen,Karsten Dambekalns,2010-10-20 05:39,"",1.0 alpha 1,2009-01-13,"",0.10,100,2009-01-13 10:13,"","",12600,"","","The License-Name in the @license Tag is wrong. The long header is correct.

The ""General"" is missing...

Just replace
@@license http://www.gnu.org/licenses/lgpl.html GNU Lesser Public License, version 3 or later@
with
@@license http://www.gnu.org/licenses/lgpl.html GNU Lesser General Public License, version 3 or later@"
2481,TYPO3.Flow,Bug,"",Resolved,Should have,"Reflection-Service might crash, due to wrong exception",Malte Jansen,"",2010-10-20 05:39,Reflection,"",2009-01-19,"","",100,2009-01-19 06:46,"","",1783450,"","","http://forge.typo3.org/repositories/changes/package-flow3/trunk/Classes/Reflection/F3_FLOW3_Reflection_Service.php

on line 208:
@if ($this->initialized) throw new \F3\FLOW3\ReflectionException('The reflection service can only be initialized once.', 1232044696);@

must be: \F3\FLOW3\Reflection\Exception

(The Exception does not exist...)
"
2486,TYPO3.Fluid,Bug,"",Resolved,Must have,Template names not resolved correctly (file name case issue),Karsten Dambekalns,Sebastian Kurfuerst,2010-10-20 05:44,"","",2009-01-20,"","",0,2009-01-20 07:52,"","",2601850,"","","In r1769 I tried to fix a bug which I experienced, in r1773 I reverted the case-change to the template file names. Now, here is what the problem is:

When you call the XSD generation helper, you simply call http://.../fluid

# Since no controller and action is given, ""Default"" and ""index"" are used
# The template is resolved as "".../Default/index.html"", fine.

Now you fill in the form and press proceed.

# Controller and action are given, ""default"" and ""generatexsd"" are used
# The template is resolved as "".../default/generatexsd.html""
# The file lies in "".../Default/generateXSD.html"" and cannot be found, leading to Exception 1225709595

The FLOW3 MVC part circumvents the problem by using getCaseSensitiveObjectName() when looking for controller or view objects. Since the template is not registered with the object manager, this is of no help here, but a similar mechanism is needed.

*Note:* The problem can only be reproduced on a case-sensitive filesystem."
2505,TYPO3.Flow,Bug,"",Resolved,Must have,RequestHandler can not be changed from the package configuration,Christoph Blömer,Robert Lemke,2010-10-20 05:39,Configuration,"",2009-01-22,"","",100,2009-01-22 06:22,"","",1783400,"","","When trying to add or change the possible RequestHandler for a package, the new RequestHandler is not merged.
This is because the Package Manager is not initialized at that time.

A solution for changing the RequestHandler for a package from inside the package configuration is needed.

This is needed because of additional RequestMethods for the WebDAV protocol."
2506,TYPO3.Flow,Feature,"",Resolved,Should have,Automagic action argument registration,Robert Lemke,Robert Lemke,2010-10-20 05:39,MVC,1.0 alpha 1,2009-01-22,"","",70,2009-01-22 11:35,"","",1792700,"","","Currently arguments of a controller must be registered manually through the <pre>$this->arguments->addNewArgument()</pre> method.

In the future this should be possible per action and by just defining arguments as method arguments (and properly documenting them):

<pre>
/**
 * @param string $uuid
 * @param string $name 
 * @param string $description Description of blog posting
 */
public function updateAction($uuid, $name, $description) {
}
</pre>

How validation is configured requires, however, further research."
2508,TYPO3.Flow,Bug,"",Rejected,Should have,Object variables which obtain their value from Super Globals are not available in child classes,Christoph Blömer,Robert Lemke,2010-10-20 05:39,MVC,"",2009-01-23,"","",0,2009-01-22 23:31,"","",1783350,"","","When a class variable like $this->SERVER obtains the value from a super global like $_SERVER and the global variable is replaced by the SuperGlobalReplacement, the class variable can not be accessed from a child class."
2509,TYPO3.Flow,Feature,"",Closed,Should have,Mapping properties to complex object -> Part-Mappings,Sebastian Kurfuerst,"",2010-10-20 05:39,MVC,1.0 alpha 1,2009-01-23,"","",0,2009-01-23 05:58,"","",1792650,"","","Example: There is a ""Customer"" domain object with 10 properties.
In the View, we render a form to change two of these properties.
-> However, Data Mapping creates an object with all properties, but only two were submitted.

Somehow we need to make the actually sent properties accessible - to only map these to the target domain object then."
2510,TYPO3.Flow,Feature,"",Closed,Should have,Mapping complex objects -> Relations support,Sebastian Kurfuerst,"",2010-10-20 05:39,Property,"",2009-01-23,"","",0,2009-01-23 05:59,"","",1783300,"","","When mapping complex objects, currently relations are not supported. They are however really important :-) (needs to be done somehow in DomainObjectConverter)"
