#,Project,Tracker,Parent task,Status,Priority,Subject,Author,Assigned To,Updated,Category,Target version,Start date,Due date,Estimated time,% Done,Created,Story points,Velocity based estimate,Position,Remaining (hours),Affected Flow version,Description
39439,TYPO3.Flow,Bug,"",Resolved,Must have,PHP Session lifetime,Joachim Mathes,Robert Lemke,2012-12-12 02:40,Session,2.0 beta 1,2012-08-01,"","",100,2012-08-01 05:52,"","",733700,"",FLOW3 1.0.0,"Hello Robert,

as discussed on the phone, there is an issue with FLOW3's session lifetime. FLOW3 uses the PHP Session, by default. Thus, session behaviour is influenced by the @php.ini@ configuration. Therefore, the session garbage collector removes sessions every 24 minutes (based on some probability parameters). And it seems, that up to now @TYPO3.FLOW3.session.inactivityTimeout@ doesn't set the @session.gc_maxlifetime@ of PHP to make longer session lifetimes possible.

Best regards
Joachim"
39445,TYPO3.Flow,Bug,"",Resolved,Must have,PropertyMapper chokes on Objects that are already converted inside an collection,Marc Neuhaus,Marc Neuhaus,2013-04-02 16:30,Property,2.0 beta 1,2012-12-25,"","",100,2012-08-01 08:06,"","",734000,0.00,Git 1.2 (master),"The PropertyMapper still chokes on objects which are already converted if it's inside an collection/array.

The PropertyMapper should skip the mapping if the source is already an instance of the target."
39456,TYPO3.Fluid,Bug,"",Resolved,Must have,Action URI of the form ViewHelper is not reset,Bastian Waidelich,Bastian Waidelich,2012-08-07 11:35,ViewHelpers,1.1,2012-08-01,"","",100,2012-08-01 12:33,"","",734550,"",Git 1.1,"The Form ViewHelper stores the action URI attribute for performance reasons.
BUt because instances of ViewHelpers are reused, this value needs to be reset."
39564,TYPO3.Eel,Feature,"",Resolved,Should have,Eel Parser RegEx should support quoted strings containing curly brackets,Alexander Berl,Alexander Berl,2012-08-07 06:45,"","",2012-08-07,"","",0,2012-08-06 18:54,"","",739950,"","","Currently, the eel parser regex doesn't recognize expressions like the following as valid:
<code>""some {$context->unwrap()} string with 'quoted stuff'""</code>

This is because the regex /^\${([^}]*)}$/ stops on the first occurence of a closing curly bracket ""}""."
39596,TYPO3.Eel,Bug,"",Resolved,Must have,Context unwrap of nested array with Context does not work,Christopher Hlubek,Christopher Hlubek,2012-08-09 07:21,"","",2012-08-07,"","",100,2012-08-07 10:53,"","",741550,"","","If a Context object is nested inside an array, the unwrapping of the pure value does not work as expected."
39599,TYPO3.Flow,Task,"",Resolved,Should have,Handle errors in subprocesses properly,Karsten Dambekalns,Christian Jul Jensen,2012-09-11 09:35,Reflection,2.0 beta 1,2012-08-07,"","",100,2012-08-07 11:45,"","",741700,"","","To be able to properly handle missing class dependencies in ClassReflection a ClassLoader should be added to end of the ClassLoader chain that throws an exception if it's reached, meaning the class couldn't be loaded.

Make executeCommand throw an exception on errors, rather than just echo any command output collected."
39604,TYPO3.Fluid,Bug,"",Resolved,Must have,TemplateParser unquoteString does not trim escaped quotes correctly,Alexander Berl,Alexander Berl,2012-08-10 03:35,Core,"",2012-08-08,"","",100,2012-08-07 19:50,"","",741950,"",FLOW3 1.1.0 rc 2,"Assume the following case:
<code>
<f:alias map=""{foo: '\'bar\''}"">
  {foo}
</f:alias>
</code>

*Epected:*
Output 'bar' (including the quotes)

*Actual:*
Output 'bar\

*Cause:*
unquoteString uses trim() to strip starting and ending quotes, however trim is not restricted to trimming only one char on both sides, hence removes both trailing single quotes from the input string, leaving ""\'bar\"" to be unescaped.

*Solution:*
preg_replace should be used instead with a non-repeating pattern, e.g. <code>preg_replace('/(^\'|\'$)/', '', $quotedValue)</code>"
39609,TYPO3.Flow,Feature,"",Accepted,Should have,Migration Version,Peter Russ,Karsten Dambekalns,2013-05-21 07:28,- Migrations -,"",2012-08-08,"",1.00,50,2012-08-08 04:06,"","",742200,"","","For CD/CI it would be helpful if doctrine cli controller would report the current version of migration.

We've changed doctrine:migrationversion that way that if no version is provided the action will report current migration version.
By this it is possible to decide on script level if migration is required or not.

Find patch attached.

"
39647,TYPO3.Flow,Bug,"",Closed,-- undefined --,TYPO3\FLOW3\Error\Exception thrown in file ErrorHandler.php,Kay Strobach,"",2012-08-09 10:00,- Error Handler Report -,"",2012-08-09,"","",0,2012-08-09 09:05,"","",744050,"",FLOW3 1.1.0 rc 2,"Hello Guys,

using FLOW3 on Windows seems to be impossible :(

Regards
Kay


<pre>
Warning: symlink(): Cannot create symlink, error code(1314) in D:\devenv\mowesII\www\flow3\Data\Temporary\Development\Cache\Code\FLOW3_Object_Classes\TYPO3_FLOW3_Resource_Publishing_FileSystemPublishingTarget_Original.php line 116
21 TYPO3\FLOW3\Error\ErrorHandler::handleError(2, ""symlink(): Cannot create symlink, error code(1314)"", ""D:\devenv\mowesII\www\flow3\Data\Temporary\Develop?Publishing_FileSystemPublishingTarget_Original.php"", 116, array)

20 symlink(""D:/devenv/mowesII/www/flow3/Packages/Framework/TYPO3.FLOW3/Resources/Public"", ""D:/devenv/mowesII/www/flow3/Web/_Resources/Static/Packages/TYPO3.FLOW3"")

19 TYPO3\FLOW3\Resource\Publishing\FileSystemPublishingTarget_Original::publishStaticResources(""D:/devenv/mowesII/www/flow3/Packages/Framework/TYPO3.FLOW3/Resources/Public/"", ""Packages/TYPO3.FLOW3/"")

18 TYPO3\FLOW3\Resource\Publishing\ResourcePublisher_Original::publishStaticResources(""D:/devenv/mowesII/www/flow3/Packages/Framework/TYPO3.FLOW3/Resources/Public/"", ""Packages/TYPO3.FLOW3/"")

17 TYPO3\FLOW3\Resource\ResourceManager_Original::publishPublicPackageResources(array)

16 TYPO3\FLOW3\Core\Booting\Scripts::initializeResources(TYPO3\FLOW3\Core\Bootstrap)

15 call_user_func(array, TYPO3\FLOW3\Core\Bootstrap)

14 TYPO3\FLOW3\Core\Booting\Step::__invoke(TYPO3\FLOW3\Core\Bootstrap)

13 TYPO3\FLOW3\Core\Booting\Sequence::invokeStep(TYPO3\FLOW3\Core\Booting\Step, TYPO3\FLOW3\Core\Bootstrap)

12 TYPO3\FLOW3\Core\Booting\Sequence::invokeStep(TYPO3\FLOW3\Core\Booting\Step, TYPO3\FLOW3\Core\Bootstrap)

11 TYPO3\FLOW3\Core\Booting\Sequence::invokeStep(TYPO3\FLOW3\Core\Booting\Step, TYPO3\FLOW3\Core\Bootstrap)

10 TYPO3\FLOW3\Core\Booting\Sequence::invokeStep(TYPO3\FLOW3\Core\Booting\Step, TYPO3\FLOW3\Core\Bootstrap)

9 TYPO3\FLOW3\Core\Booting\Sequence::invokeStep(TYPO3\FLOW3\Core\Booting\Step, TYPO3\FLOW3\Core\Bootstrap)

8 TYPO3\FLOW3\Core\Booting\Sequence::invokeStep(TYPO3\FLOW3\Core\Booting\Step, TYPO3\FLOW3\Core\Bootstrap)

7 TYPO3\FLOW3\Core\Booting\Sequence::invokeStep(TYPO3\FLOW3\Core\Booting\Step, TYPO3\FLOW3\Core\Bootstrap)

6 TYPO3\FLOW3\Core\Booting\Sequence::invokeStep(TYPO3\FLOW3\Core\Booting\Step, TYPO3\FLOW3\Core\Bootstrap)

5 TYPO3\FLOW3\Core\Booting\Sequence::invokeStep(TYPO3\FLOW3\Core\Booting\Step, TYPO3\FLOW3\Core\Bootstrap)

4 TYPO3\FLOW3\Core\Booting\Sequence::invoke(TYPO3\FLOW3\Core\Bootstrap)

3 TYPO3\FLOW3\Http\RequestHandler::boot()

2 TYPO3\FLOW3\Http\RequestHandler::handleRequest()

1 TYPO3\FLOW3\Core\Bootstrap::run()


Please include more helpful information!

</pre>"
39648,TYPO3.Flow,Feature,"",Resolved,Should have,Configurable CLI Subrequest environment variables,Sebastian Kurfuerst,Sebastian Kurfuerst,2012-08-17 04:35,"",1.1,2012-08-09,"","",100,2012-08-09 09:36,"","",744100,"","","When debugging with xdebug, a major difficulty is that in development and
functional tests, there are always two requests being executed: The main request
and a CLI request inside.

Now, most IDEs do not support the (optional) feature of multi-threaded PHP debugging,
effectively stopping the sub-request and also the main request in this case.

With this feature it's possible to change the XDEBUG remote port from 9000 to 9001, so that the subrequest can be debugged by listening on port 9001."
