#,Project,Tracker,Parent task,Status,Priority,Subject,Author,Assigned To,Updated,Category,Target version,Start date,Due date,Estimated time,% Done,Created,Story points,Velocity based estimate,Position,Remaining (hours),Description
31334,TYPO3.Media,Feature,"",Resolved,Could have,Additional orientation-related functions for Image,Adrian Föder,Bastian Waidelich,2012-02-01 06:30,"","",2011-10-27,"","",100,2011-10-27 04:53,"","",335950,"","Hi guys,

I would like to improve the image handling of the TYPO3.Media package; I like it very much so far.


When working on it, I figured out some things that could be improved, I think or hope.


At first I added a few functions to the Image class, could be backed also into the interface (see attached patches).


In general, I would suggest a bit another approach of the ImageVariant: at first I say it should be extended from Image, because an image variant mostly has the properties of an Image (which is inherently correct :)

This ImageVariant class then has only an additional property $originalImage which is set during construction. All other properties and methods are interited anyway, and that's correct.

Then I say an Image Variant should not be ""created"" or ""transformed"" during creation (i.e. within the constructor), but be more a ""base"" for working on an image variant. So I would suggest something like this (pseudo-code):
<pre>
class ImageVariant extends Image {
	/**
	 * @var \TYPO3\Media\Domain\Model\Image
	 */
	protected $originalImage;

	
	/**
	 * @param Image $baseImage The Image that image variant is based on
	 */
	public function __construct(\TYPO3\Media\Domain\Model\Image $baseImage) {
		$this->originalImage = $baseImage;
		$this->width = $baseImage->getWidth();
		$this->height = $baseImage->getHeight();
	}
</pre>


and than one could do the following:

<pre>
$myThumbnail = new ImageVariant();
$myThumbnail->setWidth(180)->preserveAspectRatio(true)->cropToSquare()->getResource();
</pre>

each mentioned function is set in the ImageVariant and returns $this itself. Also each function just modyfies private properties; and with e.g. getResource() or any other 'build()' function (even __toString() is possible) the image is finally built.


What do you think?


"
33181,TYPO3.Media,Feature,"",Resolved,Could have,"Validators for image size, type and orientation",Adrian Föder,Bastian Waidelich,2012-03-21 09:35,"","",2012-01-13,"","",100,2012-01-13 11:33,"","",425850,"","Create an ImageValidator that validates for images size (resolution), type (IMAGETYPE_*) & orientation (square, portrait, landscape)"
33263,TYPO3.Media,Task,"",New,Should have,Use Imagine TransformInterface,Soren Malling,"",2012-09-14 04:30,"","",2012-01-18,2012-01-18,"",0,2012-01-17 09:47,"","",429950,"","Related to:
http://forge.typo3.org/issues/33262

TYPO3.Media should follow the interface provided by Imagine, when the ticket above is done"
33413,TYPO3.Media,Feature,"",Resolved,Should have,Image ViewHelper,Adrian Föder,Adrian Föder,2012-05-10 08:02,"","",2012-01-24,"","",0,2012-01-24 09:35,"","",437250,"","Building a ViewHelper for rendering an <img> tag out of a TYPO3\Media\Image object.
Please discuss here about the features and the code, I will gladly build it once agreed."
33447,TYPO3.Media,Feature,"",Resolved,Should have,ImageConverter,Bastian Waidelich,Bastian Waidelich,2012-02-01 06:30,"","",2012-01-25,"","",100,2012-01-25 13:56,"","",438950,"",Provide Image Type Converter that can convert arrays to Image objects
33564,TYPO3.Media,Bug,"",Resolved,Must have,Persisting image throws Exception,Karsten Dambekalns,Bastian Waidelich,2012-05-08 12:10,"","",2012-01-31,"","",100,2012-01-31 10:29,"","",444700,"","When trying to upload an image I get this result:

http://dl.dropbox.com/u/1536167/Phoenix/stacktrace.html"
33766,TYPO3.Media,Bug,"",Resolved,Must have,Functional tests break following tests,Karsten Dambekalns,Karsten Dambekalns,2012-07-09 08:44,"","",2012-02-08,"","",0,2012-02-08 07:20,"","",454700,"",In @tearDown()@ one must call @parent::tearDown()@ as well.
34462,TYPO3.Media,Feature,"",New,Could have,"Provide base mechanism for direct streaming of ""media""",Adrian Föder,"",2012-03-02 08:56,"","",2012-03-02,"","",0,2012-03-02 08:56,"","",489000,"","It would be useful to have the option to allow requesting a media (for current implementations consider an Image) directly per URI request.
I'd like to collect some ideas together how this could be achieved.

For a first draft I thought about providing both an AbstractController and an AbstractView that fetches the appropriate image and the view basically echo's that view after setting a Content-Type:image/jpeg (e.g.) header.
That Uri could be configured being for example

<pre>
http://cdn.example.org/image/bfc4d56e-ec2f-4ac6-8571-b60d97f37cac/300x.jpg
</pre>

would output the image scaled to 300px width. 

While thinking through that; another approach would be to provide an own request handler.

Additionally of course a caching mechanism should be used in order not to recalculate the same image every time.

At a very later stage, a simple cache proxy could be used however in order to ""protect"" the FLOW3 engine for unnecessary subsequent requests."
36115,TYPO3.Media,Bug,"",Closed,-- undefined --,TYPO3.Media: Properties cannot be mapped,Florian Carstens,Adrian Föder,2012-11-02 10:34,"","",2012-04-15,"","",0,2012-04-15 14:03,"","",570150,"","I tried to persist a \TYPO3\Media\Domain\Model\Image to database after submitting a fluid form and got the following Exception:

<pre>
Property ""name"" was not found in target object of type ""Acme\MyApp\Domain\Model\Participant"".

20 TYPO3\FLOW3\Property\TypeConverter\PersistentObjectConverter_Original::getTypeOfChildProperty(""Acme\MyApp\Domain\Model\Participant"", ""name"", TYPO3\FLOW3\Mvc\Controller\MvcPropertyMappingConfiguration)

19 TYPO3\FLOW3\Property\PropertyMapper_Original::doMapping(array, ""Acme\MyApp\Domain\Model\Participant"", TYPO3\FLOW3\Mvc\Controller\MvcPropertyMappingConfiguration, array)

18 TYPO3\FLOW3\Property\PropertyMapper_Original::convert(array, ""Acme\MyApp\Domain\Model\Participant"", TYPO3\FLOW3\Mvc\Controller\MvcPropertyMappingConfiguration)

17 TYPO3\FLOW3\Mvc\Controller\Argument_Original::setValue(array)

16 TYPO3\FLOW3\Mvc\Controller\AbstractController::mapRequestArgumentsToControllerArguments()

15 TYPO3\FLOW3\Mvc\Controller\ActionController_Original::processRequest(TYPO3\FLOW3\Mvc\ActionRequest, TYPO3\FLOW3\Http\Response)

14 TYPO3\FLOW3\Mvc\Dispatcher_Original::dispatch(TYPO3\FLOW3\Mvc\ActionRequest, TYPO3\FLOW3\Http\Response)

13 TYPO3\FLOW3\Mvc\Dispatcher::dispatch(TYPO3\FLOW3\Mvc\ActionRequest, TYPO3\FLOW3\Http\Response)

12 call_user_func_array(array, array)

11 TYPO3\FLOW3\Mvc\Dispatcher::FLOW3_Aop_Proxy_invokeJoinPoint(TYPO3\FLOW3\Aop\JoinPoint)

10 TYPO3\FLOW3\Aop\Advice\AdviceChain::proceed(TYPO3\FLOW3\Aop\JoinPoint)

9 TYPO3\FLOW3\Security\Aspect\RequestDispatchingAspect_Original::setAccessDeniedResponseHeader(TYPO3\FLOW3\Aop\JoinPoint)

8 TYPO3\FLOW3\Aop\Advice\AroundAdvice::invoke(TYPO3\FLOW3\Aop\JoinPoint)

7 TYPO3\FLOW3\Aop\Advice\AdviceChain::proceed(TYPO3\FLOW3\Aop\JoinPoint)

6 TYPO3\FLOW3\Security\Aspect\RequestDispatchingAspect_Original::blockIllegalRequestsAndForwardToAuthenticationEntryPoints(TYPO3\FLOW3\Aop\JoinPoint)

5 TYPO3\FLOW3\Aop\Advice\AroundAdvice::invoke(TYPO3\FLOW3\Aop\JoinPoint)

4 TYPO3\FLOW3\Aop\Advice\AdviceChain::proceed(TYPO3\FLOW3\Aop\JoinPoint)

3 TYPO3\FLOW3\Mvc\Dispatcher::dispatch(TYPO3\FLOW3\Mvc\ActionRequest, TYPO3\FLOW3\Http\Response)

2 TYPO3\FLOW3\Http\RequestHandler::handleRequest()

1 TYPO3\FLOW3\Core\Bootstrap::run()
</pre>

I var_dumped in the \TYPO3\FLOW3\Property\PropertyMapper::doMapping() function the var $typeConverter->getSourceChildPropertiesToBeConverted($source) and got this:

<pre>
array(12) {
  [""firstname""]=>
  string(4) ""Karl""
  [""lastname""]=>
  string(8) ""Schuster""
  [""address""]=>
  string(15) ""Musterstraße 1""
  [""zip""]=>
  string(5) ""12345""
  [""city""]=>
  string(11) ""Musterstadt""
  [""email""]=>
  string(16) ""karl@mydomain.com""
  [""photo""]=>
  array(1) {
    [""resource""]=>
    array(1) {
      [""submittedFile""]=>
      array(2) {
        [""fileName""]=>
        string(0) """"
        [""resourcePointer""]=>
        string(0) """"
      }
    }
  }
  [""name""]=>
  array(1) {
    [""photo""]=>
    array(1) {
      [""resource""]=>
      string(5) ""1.jpg""
    }
  }
  [""type""]=>
  array(1) {
    [""photo""]=>
    array(1) {
      [""resource""]=>
      string(10) ""image/jpeg""
    }
  }
  [""tmp_name""]=>
  array(1) {
    [""photo""]=>
    array(1) {
      [""resource""]=>
      string(24) ""C:\xampp\tmp\php923B.tmp""
    }
  }
  [""error""]=>
  array(1) {
    [""photo""]=>
    array(1) {
      [""resource""]=>
      int(0)
    }
  }
  [""size""]=>
  array(1) {
    [""photo""]=>
    array(1) {
      [""resource""]=>
      int(1099718)
    }
  }
}
</pre>

My fluid form contains:
<pre><code class=""html"">
<f:form action=""create"" object=""{newParticipant}"" name=""newParticipant"" enctype=""multipart/form-data"">
[...]
	<label for=""photo"">Foto</label><br />
	<f:form.upload property=""photo.resource"" id=""photo"" /><br />
[...]
</f:form>
</code></pre>"
36958,TYPO3.Media,Bug,"",Resolved,Must have,Empty image title results in exception,Nikolas Hagelstein,Adrian Föder,2012-07-09 08:28,"","",2012-05-08,"","",0,2012-05-08 12:00,"","",611050,"","SQLSTATE[23000]: Integrity constraint violation: 1048 Column 'title' cannot be null

This has been introduced by:
http://git.typo3.org/FLOW3/Packages/TYPO3.Media.git?a=commit;h=6e958f2f3b5113aefcd22d871f87a6f74ef8361a

Possible solution:
1. Set the default value of the title to ''

or 

2. Annotate with ""to be null""

or

3. Make the image title mandatory

I would go for 1 for now.


"
