#,Project,Tracker,Parent task,Status,Priority,Subject,Author,Assigned To,Updated,Category,Target version,Start date,Due date,Estimated time,Spent time,% Done,Created,Story points,Velocity based estimate,Position,Remaining (hours),Description
7143,Base Distribution,Story,"",Resolved,Must have,As a WebsiteUser I want to see a simple website. ,Robert Lemke,"",2011-05-05 07:49,"","","","","",0.00,100,2010-04-06 11:16,"","",2607800,"","*As a [[website user]] I want to see a simple website.*

* The content is in stored in the Content Repository
* At least 2 pages with real urls
* RTE text content is displayed
* W3C valid layout (demo package)
"
7144,Base Distribution,Story,"",Resolved,Must have,As a PHP Developer I want to have an easy API to create a page and add content to it.,Robert Lemke,"",2011-05-05 07:49,"","","","","",0.00,100,2010-04-06 11:34,"","",2607750,"","*As a [[PHP Developer]] I want to have an easy API to create a page and add content to it*

* demo controller
* developer documentation explaining the usage
"
7214,Base Distribution,Story,"",Resolved,Should have,As a Editor I want to login and a basic editor interface should be loaded.,Daniel Poetzinger,"",2011-05-05 07:49,"","",2010-04-11,"","",0.00,100,2010-04-11 14:49,"","",2607700,"","criteria:

* I can add ""/typo3"" to the Url and a login-screen is shown, that looks like the PSD

  * own extjs theme should be used
  * layout is not ""final"" but more ""example"" like

* If I type wrong credentials an error should be shown
* If I type in the correct credentials a basic BE is loaded (and below I see the page from before)
* a Selenium-Test tests the sucessful login for the demopackage
"
7215,Base Distribution,Story,"",Resolved,Must have,As Phoenix team member I want a state-of-the art build and CI environment,Daniel Poetzinger,"",2011-05-05 07:49,"","",2010-04-11,"","",0.00,100,2010-04-11 14:59,"","",2607650,"","h2. Suggestion for Build environments:

* integration_dev with own domain for fe access
* * building from the ""phoenix"" trunk  (using (svn externals) to FLOW3, TYPO3 5.0 and the Demopackage that we want to build up)


* integration with own domain for FE access
* * building from the latest/defined tag (using also tagged packages and not trunk of packages)

h2. Build Setups in Hudson:

1) phoenix-integration_dev_commit
* Quick build that is triggered by SVN commits. 
* build xml just checkout the packages and run the basic unit tests

2) phoenix-integration_dev_full
* triggered nightly
* build that builds from scratch (empty folder):
* build xml:
 * svn checkout of phoenix trunk
 * fill the contentrepository with a CR dump
 * system specific configurations (property file)
 * run unit tests
  * run integration unit tests and selenium tests

3) phoenix-integration_dev_tests and 4) phoenix-integration_tests
* triggered manual only running the selenium tests


4) phoenix-integration_full
* triggered manual (at en of sprint for instance)
* simelar to phoenix-interagtion_dev_full but 
  * as the first step it tags the relevant packages
  * it tags the phoenix and adjust svn externals to new tag
  * then it builds from tag





*Criteria:*
* phoenix-dev.typo3.org points to integration-dev
* phoenix.typo3.org points to integration
* Hudson shows the build projects
* build (phing) files are in svn and understandable
* some short system overview (physically) and some short explainations



"
7918,Base Distribution,Story,"",Resolved,Should have,As a User I want to see a dynamic navigation on the website,Daniel Poetzinger,Robert Lemke,2011-05-05 07:49,"","",2010-05-26,"","",0.00,100,2010-05-26 08:41,"","",2607900,"","- There should be a pagetree in the Content Repository with at least 1 Level
- It should be rendered with TypoScript as ul / li based navigation. It should render as Folddown menu (CSS or JS)
- The Menu Generation (TMENU?) should be documented, with features like:
   - entryLevel
   - diffrent Rendering of the diffrent Levels (wrap, classes)
   - diffrent Rendering of diffrent States (normal, active (=page in menu = current page), current (=page in menu is in rootline of current page))



"
7920,Base Distribution,Story,"",Resolved,Should have,As an Editor I want to edit page properties of current page.,Daniel Poetzinger,Christopher Hlubek,2011-05-05 07:49,"","",2010-05-26,"","",0.00,100,2010-05-26 08:44,"","",2607850,"","- After a Login I want to click on ""edit"" > ""Page properties"" and a form which allows me to edit pageproperties should be loaded. At least this fields:
(The fields that are avaiable for rendering should be configurable (TCA like)) 


   - Pagetitle (<title> tag)
   - Navigationtitle (Used in menues)
   - Pathsegment?
   - hidden

- After saving the changes the page should reload and the changes should take effect"
7921,Base Distribution,Story,"",Resolved,Should have,As  Magarethe I want to add  pages,Daniel Poetzinger,"",2011-05-05 07:49,"","",2010-07-06,"",1.00,0.00,100,2010-05-26 08:46,"","",2608500,0.00,"Click on ""add page""
  - slide down of page properties
  - Fields: title / navtitle / pathsegment
  - Part to select the position of the new page...  (it shows the siblings)

(creating childpages still needs to be planned)
"
7922,Base Distribution,Story,"",Resolved,Should have,As Magarethe I want to delete pages,Daniel Poetzinger,"",2011-05-05 07:49,"","","","","",0.00,0,2010-05-26 08:48,"","",2608450,0.00,"""trash"" icon shows a confirmation in a ""flyout dialog""
  - after confirmation it just deletes current page and reloads (shows next useful page)
"
7923,Base Distribution,Story,"",Resolved,Should have,As Magarethe I want to edit content on the website using inline editing,Daniel Poetzinger,"",2011-11-07 05:37,"","","","","",0.00,0,2010-05-26 08:53,"","",2607600,0.00,"-Edit Headline and Text inline on all pages where we have Text elements
  -if it looses focus it saves in the CE fields according to the CE structure

Structure to support:

   [mul_ZZ: Page]
  /  
[SN]    ------[de_DE: Section]
  |    /       title: ""Willkommen""
  |    +------[en_EN: Section]
  +--[SN]      title: ""Welcome""
       |
       +--[SN]---[mul_ZZ: Text]
            |     body: ""Go to our <link> other website!""
            | 
            +--[SN]---[mul_ZZ: Link] 
                      href: 

Content Context:
   de_DE
   time
   ...





"
8643,Base Distribution,Story,"",Resolved,Should have,As a Developer I want a Plugin API Concept,Daniel Poetzinger,"",2011-05-05 07:49,"","",2010-07-04,"","",0.00,100,2010-07-03 18:34,"","",2608000,"","- Documentation of API
- Dummy Controller Example
"
