#,Project,Tracker,Parent task,Status,Priority,Subject,Author,Assigned To,Updated,Category,Target version,Start date,Due date,Estimated time,% Done,Created,Story points,Velocity based estimate,Position,Remaining (hours),Affected Flow version,Description
47882,TYPO3.Party,Bug,"",Resolved,Should have,MsnValidator throws exception when being used,Mattias Nilsson,Mattias Nilsson,2013-10-01 13:35,"","",2013-05-03,"","",100,2013-05-03 09:45,"","",1144300,"",Git master,"MsnValidator throws exception when being used, due to missing delimiter in preg_match."
47881,TYPO3.Party,Bug,"",Resolved,Should have,IcqValidator throws exception when being used,Mattias Nilsson,Mattias Nilsson,2013-06-21 09:36,"","",2013-05-03,"","",100,2013-05-03 09:43,"","",1144250,"",Git master,"IcqValidator throws exception when being used, due to missing delimiter in preg_mtach."
45459,TYPO3.Party,Bug,"",Resolved,Must have,Removing primary electronic address fails in persistence,Aske Ertmann,"",2015-03-16 12:33,"","",2013-02-13,"","",100,2013-02-13 10:09,"","",1024900,"",Git 1.1,"When removing an electronic address which is also the primary electronic address of a Person an exception is thrown in the persistence layer due to a property being unset and not set to NULL when validating the object before persisting.

http://i.imgur.com/ufA5WZP.png"
45276,TYPO3.Party,Task,"",Resolved,Should have,"Remove Gizmo as electronic address due to discontinued as of April 3, 2011.",Mattias Nilsson,Mattias Nilsson,2013-03-19 11:37,"","",2013-02-08,"","",100,2013-02-08 08:25,"","",1015900,"","","Remove Gizmo as electronic address due to discontinued as of April 3, 2011.

Quote from: http://en.wikipedia.org/wiki/Gizmo5
""Google announced that the service would be discontinued as of April 3, 2011""
"
45275,TYPO3.Party,Bug,"",Closed,Should have,"Remove Gizmo as electronic address due to discontinued as of April 3, 2011",Mattias Nilsson,Mattias Nilsson,2013-02-08 08:24,"","",2013-02-08,"","",0,2013-02-08 08:22,"","",1015850,"",Flow 2.0.0 beta 1,"Remove Gizmo as electronic address due to discontinued as of April 3, 2011.

Quote from: http://en.wikipedia.org/wiki/Gizmo5
""Google announced that the service would be discontinued as of April 3, 2011"""
44196,TYPO3.Party,Bug,"",Resolved,Should have,Missing the possibility to get a list of all available electronic types and usage types.,Mattias Nilsson,Mattias Nilsson,2013-03-26 09:37,"","",2012-12-22,"","",100,2012-12-22 03:47,"","",963450,"",Flow 2.0.0 beta 1,"When trying to get all the electronic types and usage types, there is no method to get them as a list.

My suggestion is to add two methods for getting the necessary data:

public function getAllElectronicAddressTypes() {}

public function getAllUsageTypes() {}

both should be added to class ElectronicAddress {}"
41482,TYPO3.Party,Bug,"",Resolved,Should have,Down migration for MySQL broken in Version20120429213446,Karsten Dambekalns,Karsten Dambekalns,2015-03-16 12:33,Migrations,"",2012-09-30,"","",100,2012-09-30 16:09,"","",831350,"",FLOW3 1.1.0,""
39150,TYPO3.Party,Bug,"",Closed,Must have,Missing validators for all type values of ElectronicAddress,Steffen Wickham,"",2013-05-03 09:42,Validation,"",2012-07-20,"","",100,2012-07-20 18:35,"","",719350,"",FLOW3 1.1.0 rc 2,"The ElectronicAddress model of TYPO3.Party tries to validate all kind of address values during execution.
Due to missing validators, there will be an error message (no exception!) on a blank white page.

There are missing validators for electronic addresses as follows:
- Skype
- Aim
- Gizmo
- Icq
- Jabber (could be derived from EmailAddressValidator)
- Msn
- Sip
- Url
and
- Yahoo


Using user defined validators in non framework packages would be ignored due to model validation restriction. For type attribute there are only alphanummeric value allowed so specifying vendor names and packeges (Vendor\Package:Validator, i.e. MyCompany\MyPackage:Skype) wouldn't be possible.

But even when alphanumeric validator is removed from model, there will be an other error showing up: Object expected, string given. 
As far as I know, it's thrown by \TYPO3\FLOW3\Validation\Validator\GenericObjectValidator->validate()."
37628,TYPO3.Party,Bug,"",Resolved,Should have,Duplicate entries exception for electronicAddresses by adding through setPrimaryElectronicAddress,Carsten Bleicker,Christian Müller,2012-06-28 04:49,"","",2012-05-31,"","",0,2012-05-31 04:32,"","",644150,"",Git 1.1,"Having a form wich sets the primaryElectronicAddress.
1. Submitting with invalid email address forces a validation error, okay
2. Submitting again with valid email the result in the address collection is:
http://pastebin.com/DE0zyDek

this collection forces an exception for duplicate entries.
maybe this ""contain"" check is the point to take a look at?:
https://review.typo3.org/#/c/11078/1/Classes/Domain/Model/Person.php "
37446,TYPO3.Party,Feature,"",Rejected,Could have,cascade persist on party to store accounts,Adrian Föder,Adrian Föder,2012-05-25 07:18,"","",2012-05-23,"","",0,2012-05-23 12:28,"","",635050,"","","currently,

<pre><code class=""php"">
abstract class AbstractParty {

	/**
	 * @var \Doctrine\Common\Collections\Collection<\TYPO3\FLOW3\Security\Account>
	 * @ORM\OneToMany(mappedBy=""party"")
	 */
	protected $accounts;
</code></pre>

In very common use cases where a Party is created during a registration process, both the Party and the Account has to be persisted manually using the (injected) repository each.

I suggest to add a cascade=persist to that property, like
<pre><code class=""php"">
abstract class AbstractParty {

	/**
	 * @var \Doctrine\Common\Collections\Collection<\TYPO3\FLOW3\Security\Account>
	 * @ORM\OneToMany(mappedBy=""party"", cascade=""persist"")
	 */
	protected $accounts;
</code></pre>

This would make the following steps be sufficient for a person/party creation:
<pre><code class=""php"">
$person = new \TYPO3\Party\Domain\Model\Person();
$person->setPersonName(new \TYPO3\Party\Domain\Model\PersonName('', $firstName, '', $lastName));

$account = $this->accountFactory->createAccountWithPassword($email, $password);
$person->addAccount($account);

$this->partyRepository->add($person);
</code></pre>

...do you agree?"
