#,Project,Tracker,Parent task,Status,Priority,Subject,Author,Assigned To,Updated,Category,Target version,Start date,Due date,Estimated time,% Done,Created,Story points,Velocity based estimate,Position,Remaining (hours),Description
59091,TYPO3.Setup,Bug,"",New,Must have,provide functionality if RewriteBase is used.,Rafael Kähm,Aske Ertmann,2014-05-25 04:11,"","",2014-05-25,"","",0,2014-05-25 04:11,"","",1698000,"",If using RewriteBase on Apache or location on NginX TYPO3.Setup does not work.
57078,TYPO3.Setup,Feature,"",Closed,Must have,Check if database collation is utf8_unicode_ci,Simon Schaufelberger,Steffen Frosch,2014-10-04 10:27,"","",2014-03-19,"","",0,2014-03-19 09:52,"","",1597950,"","Databases MUST have utf8_unicode_ci collation, otherwise you will have a lot of trouble with foreign keys. Set collation to utf8_unicode_ci when neos needs to create a new database via the web installer."
55363,TYPO3.Setup,Bug,"",New,Should have,Error in RequestHandler.php,Patric Rudolph,"",2014-05-24 15:54,"",1.1,2014-01-27,"","",0,2014-01-27 09:35,"","",1513450,"","We have multiple php-versions on one server running as fastcgi. So the method detectPhpBinaryPathAndFilename does not detect the php-binary correct.
I made a patch to solve this problem."
54617,TYPO3.Setup,Bug,"",New,Could have,Problem with phpBinaryPathAndFilename,Marcin S?gol,"",2013-12-27 16:41,"",1.x,2013-12-27,"","",0,2013-12-27 16:41,"","",1477250,"","Hi,

i had beta version installed and upgrade to 1.x failed so i decided to do fresh setup. Using composer all files were fetched and i decided to copy Settings.yaml file from previous installation (DB was emptied but the credentials stayed the same). 

The problems begin when i wanted to run installer. Environment check always returned that my phpBinaryPathAndFilename is invalid in Settings.yaml. I tried various combination for php (cgi, fast-cgi, fpm) but nothing helped. 

During small conversation on #typo3-neos radmiraal suggested to comment out line 133 in file Packages/Application/TYPO3.Setup/Classes/TYPO3/Setup/Core/RequestHandler.php but this also didn't help. Finally i have changed phpBinaryPathAndFilename to /usr/bin/php5 and inside Packages/Application/TYPO3.Setup/Classes/TYPO3/Setup/Core/RequestHandler.php set function checkAndSetPhpBinaryIfNeeded() to just return TRUE without any checks. This way i was able to finish setup proccess without any problems.

I'm not sure where the problem was exactly and hope for some checks in this area.
"
54420,TYPO3.Setup,Bug,"",Closed,Must have,white font on dropdown options,Simon Schaufelberger,"",2014-11-02 12:29,"","",2013-12-14,"","",0,2013-12-14 15:03,"","",1467550,"","in the setup (/setup/index?step=0) while selecting the database, the options in the dropdown have white font which is unreadable because the options themselves have white background.

browser: google chrome"
54321,TYPO3.Setup,Bug,"",New,Should have,Imagine\Exception\InvalidArgumentException thrown in file Imagine.php,Jigal van Hemert,"",2013-12-11 03:14,"","",2013-12-11,"","",0,2013-12-11 03:14,"","",1462600,"","Installation of Neos 1.0 on Windows Vista (XAMPP for Windows 1.8.2; Apache/2.4.7 (Win32) OpenSSL/0.9.8y PHP/5.4.22 MySQL 5.5.34; PDO, GD, etc. loaded. GraphicsMagick and ImageMagick 6 both available on the system) worked until the step of importing the demo site. This step ends with an exception:

File resource://346826c35278804cbdef2c8804d3e37067c6cd80 doesn't exist
53 Imagine\Gd\Imagine::open(""resource://346826c35278804cbdef2c8804d3e37067c6cd80"")

52 TYPO3\Media\Domain\Service\ImageService_Original::transformImage(TYPO3\Media\Domain\Model\Image, array|2|)

51 call_user_func_array(array|2|, array|2|)

50 TYPO3\Flow\Object\DependencyInjection\DependencyProxy::__call(""transformImage"", array|2|)

49 TYPO3\Flow\Object\DependencyInjection\DependencyProxy::transformImage(TYPO3\Media\Domain\Model\Image, array|2|)

48 TYPO3\Media\Domain\Model\ImageVariant_Original::initializeObject(2)

47 TYPO3\Media\Domain\Model\ImageVariant_Original::__wakeup()

46 TYPO3\Media\Domain\Model\ImageVariant::__wakeup()

45 unserialize(""a:4:{s:4:&quot;text&quot;;s:132:&quot;?										&lt;p&gt;This is a tex?;i:199;s:6:&quot;height&quot;;i:71;}}}}}s:5:&quot;title&quot;;s:0:&quot;&quot;;}"")

44 Doctrine\DBAL\Types\ArrayType::convertToPHPValue(""a:4:{s:4:&quot;text&quot;;s:132:&quot;?										&lt;p&gt;This is a tex?;i:199;s:6:&quot;height&quot;;i:71;}}}}}s:5:&quot;title&quot;;s:0:&quot;&quot;;}"", Doctrine\DBAL\Platforms\MySqlPlatform)

43 TYPO3\Flow\Persistence\Doctrine\DataTypes\ObjectArray_Original::convertToPHPValue(""a:4:{s:4:&quot;text&quot;;s:132:&quot;?										&lt;p&gt;This is a tex?;i:199;s:6:&quot;height&quot;;i:71;}}}}}s:5:&quot;title&quot;;s:0:&quot;&quot;;}"", Doctrine\DBAL\Platforms\MySqlPlatform)

42 Doctrine\ORM\Internal\Hydration\AbstractHydrator::gatherRowData(array|17|, array|17|, array|1|, array|1|)

41 Doctrine\ORM\Internal\Hydration\ObjectHydrator::hydrateRowData(array|17|, array|17|, array|13|)

40 Doctrine\ORM\Internal\Hydration\ObjectHydrator::hydrateAllData()

39 Doctrine\ORM\Internal\Hydration\AbstractHydrator::hydrateAll(Doctrine\DBAL\Driver\PDOStatement, Doctrine\ORM\Query\ResultSetMapping, array|0|)

38 Doctrine\ORM\AbstractQuery::execute(NULL, 1)

37 Doctrine\ORM\AbstractQuery::getResult()

36 TYPO3\Flow\Persistence\Doctrine\Query_Original::getResult()

35 TYPO3\Flow\Persistence\Doctrine\QueryResult_Original::initialize()

34 TYPO3\Flow\Persistence\Doctrine\QueryResult_Original::rewind()

33 TYPO3\Flow\Persistence\Repository::removeAll()

32 call_user_func_array(array|2|, array|0|)

31 TYPO3\Flow\Object\DependencyInjection\DependencyProxy::__call(""removeAll"", array|0|)

30 TYPO3\Flow\Object\DependencyInjection\DependencyProxy::removeAll()

29 TYPO3\Neos\Setup\Step\SiteImportStep_Original::importSite(TYPO3\Form\Core\Model\FinisherContext)

28 TYPO3\Neos\Setup\Step\SiteImportStep_Original::TYPO3\Neos\Setup\Step\{closure}(TYPO3\Form\Core\Model\FinisherContext)

27 TYPO3\Form\Finishers\ClosureFinisher_Original::executeInternal()

26 TYPO3\Form\Core\Model\AbstractFinisher::execute(TYPO3\Form\Core\Model\FinisherContext)

25 TYPO3\Form\Core\Runtime\FormRuntime_Original::invokeFinishers()

24 TYPO3\Form\Core\Runtime\FormRuntime_Original::render()

23 TYPO3\Setup\Controller\SetupController_Original::indexAction(2)

22 TYPO3\Setup\Controller\SetupController::indexAction(2)

21 call_user_func_array(array|2|, array|1|)

20 TYPO3\Setup\Controller\SetupController::Flow_Aop_Proxy_invokeJoinPoint(TYPO3\Flow\Aop\JoinPoint)

19 TYPO3\Flow\Aop\Advice\AdviceChain::proceed(TYPO3\Flow\Aop\JoinPoint)

18 TYPO3\Flow\Security\Aspect\PolicyEnforcementAspect_Original::enforcePolicy(TYPO3\Flow\Aop\JoinPoint)

17 TYPO3\Flow\Aop\Advice\AroundAdvice::invoke(TYPO3\Flow\Aop\JoinPoint)

16 TYPO3\Flow\Aop\Advice\AdviceChain::proceed(TYPO3\Flow\Aop\JoinPoint)

15 TYPO3\Setup\Controller\SetupController::indexAction(2)

14 call_user_func_array(array|2|, array|1|)

13 TYPO3\Flow\Mvc\Controller\ActionController_Original::callActionMethod()

12 TYPO3\Flow\Mvc\Controller\ActionController_Original::processRequest(TYPO3\Flow\Mvc\ActionRequest, TYPO3\Flow\Http\Response)

11 TYPO3\Flow\Mvc\Dispatcher_Original::dispatch(TYPO3\Flow\Mvc\ActionRequest, TYPO3\Flow\Http\Response)

10 TYPO3\Flow\Mvc\Dispatcher::dispatch(TYPO3\Flow\Mvc\ActionRequest, TYPO3\Flow\Http\Response)

9 call_user_func_array(array|2|, array|2|)

8 TYPO3\Flow\Mvc\Dispatcher::Flow_Aop_Proxy_invokeJoinPoint(TYPO3\Flow\Aop\JoinPoint)

7 TYPO3\Flow\Aop\Advice\AdviceChain::proceed(TYPO3\Flow\Aop\JoinPoint)

6 TYPO3\Flow\Security\Aspect\RequestDispatchingAspect_Original::blockIllegalRequestsAndForwardToAuthenticationEntryPoints(TYPO3\Flow\Aop\JoinPoint)

5 TYPO3\Flow\Aop\Advice\AroundAdvice::invoke(TYPO3\Flow\Aop\JoinPoint)

4 TYPO3\Flow\Aop\Advice\AdviceChain::proceed(TYPO3\Flow\Aop\JoinPoint)

3 TYPO3\Flow\Mvc\Dispatcher::dispatch(TYPO3\Flow\Mvc\ActionRequest, TYPO3\Flow\Http\Response)

2 TYPO3\Setup\Core\RequestHandler::handleRequest()

1 TYPO3\Flow\Core\Bootstrap::run()

Used Git Bash (from Git for Windows) to execute the command line actions specified on http://neos.typo3.org/download.html"
53329,TYPO3.Setup,Feature,"",New,Must have,Check environment,Philipp Wrann,"",2013-11-05 02:57,"","",2013-11-05,"","",0,2013-11-05 02:57,"","",1413750,"","If some dependencies are missing the installation throws an error. Then you have to reset your database and start over again. So do a better checking for dependencies, in my case gd was not available on the system."
53328,TYPO3.Setup,Bug,"",New,-- undefined --,TYPO3\Flow\Security\Exception\NoSuchRoleException thrown in file TYPO3_Flow_Security_Policy_PolicyService.php,Philipp Wrann,"",2013-11-05 02:55,"","",2013-11-05,"","",0,2013-11-05 02:55,"","",1413700,"","Just happened in new installation when importing the demo package.

environment:
ubuntu 12.04 LTS LAMP, so pretty standard

The role with identifier ""TYPO3.Neos:Administrator"" is unknown
39 TYPO3\Flow\Security\Policy\PolicyService_Original::getRole(""TYPO3.Neos:Administrator"")

38 TYPO3\Flow\Security\AccountFactory_Original::createAccountWithPassword(""philipp"", ""justatest"", array|1|, ""Typo3BackendProvider"")

37 call_user_func_array(array|2|, array|4|)

36 TYPO3\Flow\Object\DependencyInjection\DependencyProxy::__call(""createAccountWithPassword"", array|4|)

35 TYPO3\Flow\Object\DependencyInjection\DependencyProxy::createAccountWithPassword(""philipp"", ""justatest"", array|1|, ""Typo3BackendProvider"")

34 TYPO3\Neos\Domain\Factory\UserFactory_Original::create(""philipp"", ""justatest"", ""Philipp"", ""Wrann"", array|1|)

33 call_user_func_array(array|2|, array|5|)

32 TYPO3\Flow\Object\DependencyInjection\DependencyProxy::__call(""create"", array|5|)

31 TYPO3\Flow\Object\DependencyInjection\DependencyProxy::create(""philipp"", ""justatest"", ""Philipp"", ""Wrann"", array|1|)

30 TYPO3\Neos\Setup\Step\AdministratorStep_Original::postProcessFormValues(array|7|)

29 TYPO3\Setup\Controller\SetupController_Original::postProcessStep(array|7|, TYPO3\Neos\Setup\Step\AdministratorStep)

28 TYPO3\Setup\Controller\{closure}(TYPO3\Form\Core\Model\FinisherContext)

27 TYPO3\Form\Finishers\ClosureFinisher_Original::executeInternal()

26 TYPO3\Form\Core\Model\AbstractFinisher::execute(TYPO3\Form\Core\Model\FinisherContext)

25 TYPO3\Form\Core\Runtime\FormRuntime_Original::invokeFinishers()

24 TYPO3\Form\Core\Runtime\FormRuntime_Original::render()

23 TYPO3\Setup\Controller\SetupController_Original::indexAction(1)

22 TYPO3\Setup\Controller\SetupController::indexAction(1)

21 call_user_func_array(array|2|, array|1|)

20 TYPO3\Setup\Controller\SetupController::Flow_Aop_Proxy_invokeJoinPoint(TYPO3\Flow\Aop\JoinPoint)

19 TYPO3\Flow\Aop\Advice\AdviceChain::proceed(TYPO3\Flow\Aop\JoinPoint)

18 TYPO3\Flow\Security\Aspect\PolicyEnforcementAspect_Original::enforcePolicy(TYPO3\Flow\Aop\JoinPoint)

17 TYPO3\Flow\Aop\Advice\AroundAdvice::invoke(TYPO3\Flow\Aop\JoinPoint)

16 TYPO3\Flow\Aop\Advice\AdviceChain::proceed(TYPO3\Flow\Aop\JoinPoint)

15 TYPO3\Setup\Controller\SetupController::indexAction(1)

14 call_user_func_array(array|2|, array|1|)

13 TYPO3\Flow\Mvc\Controller\ActionController_Original::callActionMethod()

12 TYPO3\Flow\Mvc\Controller\ActionController_Original::processRequest(TYPO3\Flow\Mvc\ActionRequest, TYPO3\Flow\Http\Response)

11 TYPO3\Flow\Mvc\Dispatcher_Original::dispatch(TYPO3\Flow\Mvc\ActionRequest, TYPO3\Flow\Http\Response)

10 TYPO3\Flow\Mvc\Dispatcher::dispatch(TYPO3\Flow\Mvc\ActionRequest, TYPO3\Flow\Http\Response)

9 call_user_func_array(array|2|, array|2|)

8 TYPO3\Flow\Mvc\Dispatcher::Flow_Aop_Proxy_invokeJoinPoint(TYPO3\Flow\Aop\JoinPoint)

7 TYPO3\Flow\Aop\Advice\AdviceChain::proceed(TYPO3\Flow\Aop\JoinPoint)

6 TYPO3\Flow\Security\Aspect\RequestDispatchingAspect_Original::blockIllegalRequestsAndForwardToAuthenticationEntryPoints(TYPO3\Flow\Aop\JoinPoint)

5 TYPO3\Flow\Aop\Advice\AroundAdvice::invoke(TYPO3\Flow\Aop\JoinPoint)

4 TYPO3\Flow\Aop\Advice\AdviceChain::proceed(TYPO3\Flow\Aop\JoinPoint)

3 TYPO3\Flow\Mvc\Dispatcher::dispatch(TYPO3\Flow\Mvc\ActionRequest, TYPO3\Flow\Http\Response)

2 TYPO3\Setup\Core\RequestHandler::handleRequest()

1 TYPO3\Flow\Core\Bootstrap::run()


Please include more helpful information!"
52605,TYPO3.Setup,Bug,"",New,Should have,"""Setup password"" tries to authenticate with TYPO3 Flow Security Account",Soren Malling,"",2013-10-08 04:37,"","",2013-10-08,"","",0,2013-10-08 04:37,"","",1377750,"","Running latest composer release, trying to authenticate with the password written to  SetupPassword.txt I get the following error


#2003: SQLSTATE[HY000] [2003] Can't connect to MySQL server on '127.0.0.1' (111)

From the screenshot [1] you can see that it tries to connect to the database and authenticate with the security account table and not the filebasedprovider

https://www.evernote.com/shard/s58/sh/6af1576c-0ee2-468a-b66b-bdf9dcf598e5/d02f6102e04fe04a2c087ad308da6c7e"
49666,TYPO3.Setup,Bug,"",New,Could have,Routes not detected,Georg Großberger,"",2014-05-13 03:51,"",1.0 beta 1,2013-07-04,"","",0,2013-07-04 11:39,"","",1232800,"","The /setup redirects to /setup/index, the next screen fails with the message no database connection error message.

Adding this to ""Configuration/Routes.yaml"" helps

<pre>
-
  name: 'TYPO3NeosSetup'
  uriPattern: '<TYPO3NeosSetupSubroutes>'
  subRoutes:
    TYPO3NeosSetupSubroutes:
      package: TYPO3.Setup
</pre>

Did not do any tracking on why, but apparently the setup routes are not detected properly."
