#,Project,Tracker,Parent task,Status,Priority,Subject,Author,Assigned To,Updated,Category,Target version,Start date,Due date,Estimated time,% Done,Created,Story points,Velocity based estimate,Position,Remaining (hours),Description
35801,TYPO3.Surf,Bug,"",Resolved,Must have,Hardcoded Production context,Julian Kleinhans,Christopher Hlubek,2013-03-19 13:05,"","",2012-04-09,"","",100,2012-04-09 16:47,"","",554800,"",Use surf with other context is not possible bcause there are several hardcoded lines with the Production context. See attached screen
37074,TYPO3.Surf,Bug,"",Resolved,Must have,CopyConfigurationTask should respect a configured port,Thomas Allmer,"",2013-01-23 04:30,"","",2012-05-10,"","",100,2012-05-10 13:12,"","",616800,"","A different configured port for your ssh connection should also be respected by the CopyConfigurationTask.
<pre>
$node->setOption('port', '1234');
</pre>"
37077,TYPO3.Surf,Feature,"",Needs Feedback,Should have,Surf should also support local checkout and rsync to server,Thomas Allmer,Thomas Allmer,2013-08-01 10:50,"","",2012-05-10,"","",90,2012-05-10 14:23,"","",616900,"","For that to work the following steps should be done:
1) a possibility to checkout locally
2) a Rsync Task
3) move the ""copy from cache to release"" into a separate Task (CopyCacheToReleaseTask)

h1. Details:
h2. 1) checkout locally
I currently have an option ""$application->hasOption('localPath')"", if present it well checkout on localhost to this path instead of the remote host and deployPath. Opinions?
I would probably also want to change the path ""cache/localgitclone"" to "".localclone""? As the folder for the ""remote"" should be the same regarding of usage as git or rsync. Or more meaningfull name? sugguestions?

h2. 2) Rsync Task
pretty straight forward rsync from local folder "".localclone""? to remote folder "".localclone""

h2. 3) CopyCacheToReleaseTask
As we now need to copy from a ""cache or clone"" in two separate task it would be better to create a task for it.
Furthermore it would give the possibility to add Task after this one instead of the gitcheckout.

h2. Resume:
I currently have a working solution but I'm not sure about the naming and stuff so I ask here for opinions before creating a patch for gerrit. Furthermore I also have a completely separate Application ""FLOW3rsynch"" as it wasn't possible to use FLOW3 or BaseApplication. So I'm again not sure howto do this ""more"" properly... 

Looking forward to your input :)"
37201,TYPO3.Surf,Bug,"",New,Should have,setfilepermissions task should use sudo,Karsten Dambekalns,"",2012-05-15 15:01,"","",2012-05-15,"","",0,2012-05-15 15:01,"","",622850,"",.
37778,TYPO3.Surf,Feature,"",New,Should have,Surf should have a CopyCacheToReleaseTask instead of copying in the git checkout,Thomas Allmer,"",2012-06-05 19:26,"","",2012-06-06,"","",100,2012-06-05 19:02,"","",651550,"",If Surf wants to support multiple transfer methods there has to be a generic Task which copies the tranfered files to the release.
40225,TYPO3.Surf,Bug,"",New,Should have,encrypt:setup fails if Build/Surf/Keys/ does not exist,Andreas Wolf,"",2012-08-26 07:38,"","",2012-08-26,"","",0,2012-08-26 07:38,"","",772700,"",The directory should be created if it does not exist.
40287,TYPO3.Surf,Feature,"",New,Should have,SetFilePermissionsTask should care about the shared data directory,Marco Falkenberg,"",2013-07-05 05:50,"","",2012-08-28,"","",0,2012-08-28 04:46,"","",775800,"",The shared data directory usually created by the CreateDirectoriesTask should be writeable by the web server process.  
40292,TYPO3.Surf,Task,"",New,Should have,CopyConfigurationTask should not use scp when doing local copies,Marco Falkenberg,"",2012-09-25 14:59,"","",2012-08-28,"","",0,2012-08-28 05:33,"","",776050,"","When doing a local deployment (e.g. with a standalone ""updater"") the CopyConfigurationTask should use @cp@ instead of @scp@ to avoid errors when ssh'ing to local is not possible. "
41513,TYPO3.Surf,Feature,"",Resolved,Should have,Composer support,Rens Admiraal,"",2012-10-02 04:30,"","",2012-10-02,"","",100,2012-10-02 03:01,"","",832850,"","How to change Surf to work with Composer

we add a new task ""composer:install"", which will just run ""composer install"" in the workspace directory
this re-downloads the dependencies all the time currently, but we hope composer will solve that for us soon (see https://github.com/composer/composer/pull/915 )
check if --prefer-source improves this
The FLOW3 Application Surf wll be adjusted to run the composer:install task by default
The composer:install will check at first the following things:
if composer.json is not found, skip the step -> so it's backwards-compatible
if composer command not found (the task should use a option ""composerCommandPath"" for that), throw error
then run ""composer install --no-ansi --no-interaction""
"
41830,TYPO3.Surf,Bug,"",New,Should have,Workflow-simulation fails on new nodes during cleanup task,Martin Ficzel,"",2012-10-10 06:08,"","",2012-10-10,"","",0,2012-10-10 06:08,"","",846950,"","The simulation of a deployment fails if the /releases path on the target-node does'nt exist yet and keepReleases is not 0. Since that path would be created by surf during deploy that error should be avoided.

You can workaround that by setting keepReleases to zero during first simulate/deploy but that ist no permanent solution. Another solution is to simply ignore the fail during surf:simulate since surf:deploy works as expected."
