#,Project,Tracker,Parent task,Status,Priority,Subject,Author,Assigned To,Updated,Category,Target version,Start date,Due date,Estimated time,% Done,Created,Story points,Velocity based estimate,Position,Remaining (hours),Sprint,Description
59970,TYPO3.TYPO3CR,Feature,"",New,Could have,TYPO3CR Documentation Request,Oliver Eglseder,"",2014-07-11 06:16,"","",2014-06-29,"","",0,2014-06-29 04:53,"","",1741800,"","","Dear TYPO3.TYPO3CR Team,

i was searching for Documentation (independent from TYPO3.Neos) about this Package, but all i could find was this link http://de.slideshare.net/kfish/typo3-cr-in-phoenix from 2010. Looking at the Package stats on GitHub and the History, many things have changed since the last 4 years. A look into the Documentation Folder was also disappointing.

Is there Documentation for this Package i missed?
Is Documentation for this Package intended at all?

Would be nice to have some Slides explaining how to properly create Nodes and NodeTypes for own use, what roles Contexts and Workspaces play, how everything is connected and last but not least, how to benefit in an own Package from TYPO3.TYPO3CR (, if possible. I know it was primary developed for Neos)."
58428,TYPO3.TYPO3CR,Bug,"",Resolved,Should have,Set Unique Name if Exists in Structure,Carsten Bleicker,"",2014-06-20 10:51,Node handling,"",2014-05-02,"","",0,2014-05-02 11:47,"","",1665100,"","","copy or moving a node currently counts up the name with appending '-'.n
If two users copying the same image f.e. on the same page, and the image has the nodename ""node1239"",
both copied nodenames are ""node1239-1"", in both workspaces.

user 1 puplishing ... anything is fine.
user 2 publishing after user 1 gets an exception that node1239-1 already exists.
he cant edit the nodename on normal content nodes. he does not know anything about the nodename and also can not
locate the node to delete it."
57245,TYPO3.TYPO3CR,Bug,"",Under Review,Must have,Child nodes are not deleted when a node is deleted,Pankaj Lele,Christopher Hlubek,2014-03-25 09:13,Node handling,"",2014-03-24,"","",0,2014-03-24 14:01,"","",1606250,"","",When a node is deleted its child nodes are not deleted from the database.
56669,TYPO3.TYPO3CR,Bug,"",New,Must have,Transliterator object not created successful,Simon Edelmann,"",2014-03-08 06:19,"","",2014-03-08,"","",0,2014-03-08 06:19,"","",1577600,"","","I've set up a new TYPO3 Neos installation (1.0.2) with the Demo Content Page. When I try to add a new page I get this error message:

> ExtDirect error: Unable to connect to the server.

After reloading the Neos backend I've two new pages, named @node531af4151b5e8@ and @node531af4163697e@. 
Neos twice tries and fails setting the node name. 

The problem is in the TYPO3CR package in @Classes/TYPO3/TYPO3CR/Utility.php@ in line 30.

<pre>
if (class_exists('Transliterator', FALSE)) {
	$transliterator = \Transliterator::create('Any-Latin; NFD; [:Nonspacing Mark:] Remove; NFC; [:Punctuation:] Remove; Latin-ASCII; Lower();');
	$name = $transliterator->transliterate($name);
	return preg_replace('/[-\s]+/', '-', $name);
} else {
	// Alternative method to remove unwanted characters...
}
</pre>

Neos checks if the class Transliterator exists, then it creates an object and used it. But creating the object fails on my server; I can't say why. Maybe there is a relation to PECL intl, which is installed in the (old) version 1.1.0. (It's a shared hosting machine, so I can't change that.) 

As workaround I changed the line 29:

<pre>
// if (class_exists('Transliterator', FALSE)) {

if (false) {
</pre>

So Neos always uses the alternative method without the Transliterator object. But it would be much better to check, if the class could be created successful."
56566,TYPO3.TYPO3CR,Bug,"",New,Should have,Inconsistent node structure during publishing,Christopher Hlubek,Christian Müller,2014-03-05 04:29,"","",2014-03-05,"","",0,2014-03-05 04:29,"","",1572450,"","",If a workspace is published there is a chance that while publishing individual nodes an inconsistent state is created (nodes of level > 1 with a NULL parent node). This is a problem when listening for the signals of updated nodes if a consistent structure is expected.
56386,TYPO3.TYPO3CR,Feature,"",Rejected,Should have,Add method for finding a node by it's identifier in a given context,Aske Ertmann,Aske Ertmann,2014-05-19 05:43,"","",2014-02-27,"","",0,2014-02-27 09:51,"","",1563500,"","",Similar to the findOneByPathInContext there's a use for one using identifier instead of path
56024,TYPO3.TYPO3CR,Feature,"",New,Must have,Hardcoded transliteration,Tanel Põld,"",2014-02-16 14:30,"","",2014-02-16,"","",0,2014-02-16 14:30,"","",1545500,"","","Utiliti.php seems to hold transliteration for special characters.
That ends up with wrong page urls translated from page titles in NEOS. For languages that's not German like.
Estonian: ä = a, ö = o etc."
55401,TYPO3.TYPO3CR,Bug,"",New,Must have,NodeDataRepository returns broken QueryResult if inconsistent nodes exist,Bernhard Schmitt,"",2014-01-28 11:47,Query handling,"",2014-01-28,"","",0,2014-01-28 11:18,"","",1515350,"","","If nodes exist that are inconsistent in that they have invalid relations (e.g. to Media images that have been deleted) in their serialized properties, the NodeDataRepository will on findAll() return an empty QueryResult (but with the correct count() value). That makes it technically impossible to repair the nodes in a proper way.

Version: Neos beta1 - 1.0.1"
54606,TYPO3.TYPO3CR,Bug,"",Accepted,Must have,TYPO3\Flow\Core\Booting\Exception\SubProcessException thrown in file Scripts.php,Dominic Garms,"",2014-01-29 09:19,"","",2013-12-27,"","",0,2013-12-27 04:41,"","",1476700,"","","Hello,

I just received a new Macbook and with a fresh install of Neos 1.0.1 I receive following error after selecting the database. Is there any workaround existing to tackle this?

Uncaught Exception
  An exception occurred while executing 'ALTER TABLE
  typo3_typo3cr_domain_model_nodedata DROP FOREIGN KEY
  typo3_typo3cr_domain_model_nodedata_ibfk_1':

  SQLSTATE[42000]: Syntax error or access violation: 1091 Can't DROP
  'typo3_typo3cr_domain_model_nodedata_ibfk_1'; check that column/key
  exists

More Information
  Exception code      #0
  File                /data/www/websites/neos/stable/Packages/Libraries/doctrine/dbal/lib/Doctrine/DBAL/DBALException.php line 47

31 TYPO3\Flow\Core\Booting\Scripts::executeCommand(""typo3.flow:doctrine:migrate"", array|16|, FALSE)

30 TYPO3\Setup\Step\DatabaseStep_Original::postProcessFormValues(array|8|)

29 TYPO3\Setup\Controller\SetupController_Original::postProcessStep(array|8|, TYPO3\Setup\Step\DatabaseStep)

28 TYPO3\Setup\Controller\SetupController_Original::TYPO3\Setup\Controller\{closure}(TYPO3\Form\Core\Model\FinisherContext)

27 TYPO3\Form\Finishers\ClosureFinisher_Original::executeInternal()

26 TYPO3\Form\Core\Model\AbstractFinisher::execute(TYPO3\Form\Core\Model\FinisherContext)

25 TYPO3\Form\Core\Runtime\FormRuntime_Original::invokeFinishers()

24 TYPO3\Form\Core\Runtime\FormRuntime_Original::render()

23 TYPO3\Setup\Controller\SetupController_Original::indexAction(0)

22 TYPO3\Setup\Controller\SetupController::indexAction(0)

21 call_user_func_array(array|2|, array|1|)

20 TYPO3\Setup\Controller\SetupController::Flow_Aop_Proxy_invokeJoinPoint(TYPO3\Flow\Aop\JoinPoint)

19 TYPO3\Flow\Aop\Advice\AdviceChain::proceed(TYPO3\Flow\Aop\JoinPoint)

18 TYPO3\Flow\Security\Aspect\PolicyEnforcementAspect_Original::enforcePolicy(TYPO3\Flow\Aop\JoinPoint)

17 TYPO3\Flow\Aop\Advice\AroundAdvice::invoke(TYPO3\Flow\Aop\JoinPoint)

16 TYPO3\Flow\Aop\Advice\AdviceChain::proceed(TYPO3\Flow\Aop\JoinPoint)

15 TYPO3\Setup\Controller\SetupController::indexAction(0)

14 call_user_func_array(array|2|, array|1|)

13 TYPO3\Flow\Mvc\Controller\ActionController_Original::callActionMethod()

12 TYPO3\Flow\Mvc\Controller\ActionController_Original::processRequest(TYPO3\Flow\Mvc\ActionRequest, TYPO3\Flow\Http\Response)

11 TYPO3\Flow\Mvc\Dispatcher_Original::dispatch(TYPO3\Flow\Mvc\ActionRequest, TYPO3\Flow\Http\Response)

10 TYPO3\Flow\Mvc\Dispatcher::dispatch(TYPO3\Flow\Mvc\ActionRequest, TYPO3\Flow\Http\Response)

9 call_user_func_array(array|2|, array|2|)

8 TYPO3\Flow\Mvc\Dispatcher::Flow_Aop_Proxy_invokeJoinPoint(TYPO3\Flow\Aop\JoinPoint)

7 TYPO3\Flow\Aop\Advice\AdviceChain::proceed(TYPO3\Flow\Aop\JoinPoint)

6 TYPO3\Flow\Security\Aspect\RequestDispatchingAspect_Original::blockIllegalRequestsAndForwardToAuthenticationEntryPoints(TYPO3\Flow\Aop\JoinPoint)

5 TYPO3\Flow\Aop\Advice\AroundAdvice::invoke(TYPO3\Flow\Aop\JoinPoint)

4 TYPO3\Flow\Aop\Advice\AdviceChain::proceed(TYPO3\Flow\Aop\JoinPoint)

3 TYPO3\Flow\Mvc\Dispatcher::dispatch(TYPO3\Flow\Mvc\ActionRequest, TYPO3\Flow\Http\Response)

2 TYPO3\Setup\Core\RequestHandler::handleRequest()

1 TYPO3\Flow\Core\Bootstrap::run()


Please include more helpful information!"
54566,TYPO3.TYPO3CR,Bug,"",New,Should have,Make node label configurable,Thomas Hempel,"",2013-12-22 04:04,"",1.1,2013-12-22,"","",0,2013-12-22 04:04,"","",1474750,"","","Right now the label in the node tree is either fetched from a property called ""title"" or ""text"". See Domain/Model/DefaultNodeLabelGenerator.php

Please make this configurable via the NodeType configuration. ""Title"" or ""Text"" does not always appropriate and it can cause some confusion.

I will try to provide a patch within the next days.


Greets,
Thomas"
