#,Project,Tracker,Parent task,Status,Priority,Subject,Author,Assigned To,Updated,Category,Target version,Start date,Due date,Estimated time,% Done,Created,Story points,Velocity based estimate,Position,Remaining (hours),Description
59314,TYPO3.TypoScript,Task,"",Closed,Should have,Configuring @exceptionHandler should have an effect also for nested TypoScript objects,Christian Müller,Christian Müller,2014-08-19 03:40,"","",2014-06-03,"","",0,2014-06-03 10:54,"","",1709150,"",""
57465,TYPO3.TypoScript,Bug,"",Resolved,Must have,Fatal Error in ContentCache on PHP 5.3,Benno Weinzierl,Benno Weinzierl,2014-04-03 03:59,"","",2014-03-31,"","",100,2014-03-31 12:19,"","",1617150,"","In Ubuntu Presice with PHP 5.3 the following Error occures (after some requests in backend).

<pre>
Fatal error: Cannot access self:: when no class scope is active in /project/Data/Temporary/Development/SubContextVagrantBox/Cache/Code/Flow_Object_Classes/TYPO3_TypoScript_Core_Cache_ContentCache.php on line 218 
</pre>

Patch will follow..."
57411,TYPO3.TypoScript,Task,"",New,Should have,Endless loop in TypoScript 2,Markus Hölzle,"",2014-03-29 06:46,"","",2014-03-28,"","",0,2014-03-28 09:19,"","",1614450,"","Something like this causes an endless loop and should throw an exception:
<pre>
prototype(TYPO3.Neos.NodeTypes:Page) < prototype(TYPO3.Neos.NodeTypes:Page) {
}
</pre>"
56891,TYPO3.TypoScript,Bug,"",Resolved,Should have,UriBuilder calls undefined method $this->getTsRuntime(),Rens Admiraal,"",2014-04-01 09:44,"",1.1,2014-03-13,"","",100,2014-03-13 17:56,"","",1588700,"",UriBuilder calls undefined method $this->getTsRuntime(). This seems to be a leftover from the time it still extended the TemplateImeplementation (1.0)
54378,TYPO3.TypoScript,Bug,"",New,Must have,Processors are not cleared when clearing an object path,Christopher Hlubek,"",2013-12-13 05:15,"",1.0,2013-12-13,"","",0,2013-12-13 05:15,"","",1465450,"","When clearing a property path, I expect all registered processors to be cleared as well:

<pre>
attributes.class.@process.nodeType = ${...}
attributes.class >
</pre>

Does not reset @@process.nodeType@.
"
54363,TYPO3.TypoScript,Bug,"",Resolved,Should have,Prototype definitions should use FQN,Rens Admiraal,Rens Admiraal,2013-12-13 11:36,"","",2013-12-12,"","",100,2013-12-12 11:56,"","",1464700,"",""
54274,TYPO3.TypoScript,Feature,"",Resolved,Should have,ResourceUri TypoScript object,Bastian Waidelich,Bastian Waidelich,2013-12-08 15:36,"",1.0,2013-12-07,"","",100,2013-12-07 14:21,"","",1460250,"",Provide a TypoScript object that can render resource URIs - similar to what the uri.resource ViewHelper does in Fluid.
54194,TYPO3.TypoScript,Bug,"",Resolved,Should have,Setting a property on a TS object resets its processors,Bastian Waidelich,Sebastian Kurfuerst,2013-12-04 14:36,"","",2013-12-04,"","",100,2013-12-04 06:22,"","",1456650,"","Setting the property on a TypoScript object seems to reset its processor:

Setup:
<pre>
page = TYPO3.Neos.NodeTypes:Text {
	text.@process.1 = ${String.toUpperCase(value)}
	text = 'foo bar'
}
</pre>

Expected:
<pre>
FOO BAR
</pre>

Actual:
<pre>
foo bar
</pre>

When using Eel syntax:
<pre>
text = ${'foo bar'}
</pre>
the processor is *not* reset!

Also if the process line appears after the text assignment, obviously"
52923,TYPO3.TypoScript,Bug,"",Resolved,Should have,The CaseImplementation does not support TypoScript debug mode correctly,Dominique Feyer,Dominique Feyer,2013-10-30 07:35,"","",2013-10-17,"","",100,2013-10-17 10:21,"","",1393600,"","$renderedMatcher !== self::MATCH_NORESULT is always FALSE when using TypoScript debug mode something like if (strpos($renderedMatcher, self::MATCH_NORESULT) === FALSE) should work"
50380,TYPO3.TypoScript,Feature,"",Resolved,Should have,TypoScript string keys,Aske Ertmann,"",2013-10-03 02:35,"",1.0 alpha 6,2013-07-24,"","",100,2013-07-24 08:38,"","",1267600,"","Currently trying to create keys with hyphens results in syntax error, however we need this functionality in order to have keys like data-nodename e.g.

The syntax could the equal to Yaml where you have 'Key-name': 'value', so 'Key-name' = 'value'"
