#,Project,Tracker,Parent task,Status,Priority,Subject,Author,Assigned To,Updated,Category,Target version,Start date,Due date,Estimated time,% Done,Created,Story points,Velocity based estimate,Position,Remaining (hours),Description
63998,flow3.typo3.org,Bug,"",New,Should have,Broken link on http://flow.typo3.org/download,Roland Waldner,"",2015-03-30 02:00,"","",2014-12-20,"","",0,2014-12-20 06:48,"","",-185700,"","The link ""Change Log"" on http://flow.typo3.org/download is broken."
57834,flow3.typo3.org,Bug,"",New,Must have,Broken-Links in Documentation,Thomas Deuling,"",2014-04-11 09:35,"","",2014-04-11,"","",0,2014-04-11 09:35,"","",1635550,"","Hi, I've found some broken links here: 
http://flow.typo3.org/documentation/guide 

For example Fluid-viewHelper reference linked to: 
http://docs.typo3.org/flow/TYPO3FlowDocumentation/stable/TheDefinitiveGuide/PartV/fluidviewhelperreference

instead of:
http://docs.typo3.org/flow/TYPO3FlowDocumentation/stable/TheDefinitiveGuide/PartV/FluidViewHelperReference.html
"
57071,flow3.typo3.org,Bug,"",New,Should have,Old Flow3 Commands appear in documents,Rachitha Senevirathne,"",2014-03-19 07:17,Content,"",2014-03-19,"","",0,2014-03-19 07:17,"","",1597600,"","Check this link,
http://forge.typo3.org/projects/team-forge/wiki/Cloning_the_FLOW3_Base_Distribution
for Cloning the FLOW3 Base Distribution.

git clone --recursive git://git.typo3.org/FLOW3/Distributions/Base.git FLOW3
is not working any more. "
57059,flow3.typo3.org,Bug,"",Closed,Should have,Documents not foud on the server,Rachitha Senevirathne,"",2014-03-19 03:32,"","",2014-03-19,"","",0,2014-03-19 02:31,"","",1597000,"","Please check this link 
http://flow.typo3.org/documentation/guide
Subcategories of this guide is not found in server. "
50032,flow3.typo3.org,Task,"",Resolved,Should have,Update CGL to recent changes,Bastian Waidelich,Bastian Waidelich,2013-08-06 11:04,Content,"",2013-07-15,"","",100,2013-07-15 09:33,"","",1250500,"","The ""PHP Coding Guidelines"":http://docs.typo3.org/flow/TYPO3FlowDocumentation/TheDefinitiveGuide/PartV/CodingGuideLines/PHP.html need to be adjusted to the changes discussed in our ""2nd technical discussion"":http://typo3.org/news/article/typo3-neos-technical-discussion-july-9th/"
49963,flow3.typo3.org,Bug,"",New,Should have,Broken Link to the TYPO3 Flow Coding Guidelines on one page,Joh. Feustel,Karsten Dambekalns,2014-08-01 10:58,Content,"",2012-10-25,"","",100,2013-07-12 03:56,"","",1247200,"","The link to the ""Coding Guidelines in a one page document"" doesn't work here http://docs.typo3.org/flow/TYPO3FlowDocumentation/TheDefinitiveGuide/PartV/CodingGuideLines/PHP.html

<pre>
http://flow.typo3.org/_Resources/Static/Packages/TYPO3.Flow3Org/Assets/Content/TYPO3_Flow-CGL-on-one-page.pdf
</pre>"
45248,flow3.typo3.org,Bug,"",Accepted,Must have,Documentation Main Page at flow.typo3.org is broken (404),Martin Brüggemann,Robert Lemke,2014-03-19 03:32,Server Administration,"",2013-02-07,"","",0,2013-02-07 08:58,"","",1014500,"","What if you go to flow.typo3.org and want to get started by clicking ""Documentation"" in the main menu?

h1. 404!!!!

http://flow.typo3.org/documentation.html"
44089,flow3.typo3.org,Task,"",Resolved,Should have,"Shorten menu item of ""definitive guide""",Bastian Waidelich,Bastian Waidelich,2013-01-23 05:00,Content,"",2012-12-18,"","",100,2012-12-18 07:52,"","",958200,"","Currently the menu title of the definitive guide on http://flow.typo3.org/documentation/guide.html is ""TYPO3 Flow ? The Definitive Guide"". This is too long to fit in one line and I'd suggest to rename this to ""The Definitive Guide"" only."
43882,flow3.typo3.org,Task,"",Resolved,Should have,"Update ""CGL on one page"" to new coding style",Bastian Waidelich,Karsten Dambekalns,2012-12-19 06:04,Content,"",2012-12-11,"","",100,2012-12-11 08:53,"","",947900,"","http://flow.typo3.org/_Resources/Static/Packages/TYPO3.Flow3Org/Assets/Content/FLOW3-CGL-on-one-page.pdf
still contains references to FLOW3"
42367,flow3.typo3.org,Bug,"",Resolved,Must have,Broken Link to the TYPO3 Flow Coding Guidelines on one page,Martin Brüggemann,Bastian Waidelich,2013-07-04 13:56,Content,"",2012-10-25,"","",100,2012-10-25 02:17,"","",873100,"","The link to the ""Coding Guidelines in a one page document"" doesn't work here http://flow.typo3.org/documentation/codingguidelines/php.html

<pre>
http://flow.typo3.org/_Resources/Static/Packages/TYPO3.FlowOrg/Assets/Content/TYPO3_Flow-CGL-on-one-page.pdf
</pre>"
