#,Project,Tracker,Parent task,Status,Priority,Subject,Author,Assigned To,Updated,Category,Target version,Start date,Due date,Estimated time,% Done,Created,Story points,Velocity based estimate,Position,Remaining (hours),Affected Flow version,Description
3715,TYPO3.Kickstart,Bug,"",Resolved,Must have,Kickstarter generates invalid Repositories,Bastian Waidelich,Karsten Dambekalns,2010-10-20 05:48,"",1.0.0 alpha 5,2009-06-21,"","",0,2009-06-21 09:33,"","",2740350,"","","Generated Repository classes (""Kickstart Generator generateRepository"") creates classes with ""@scope"" and ""@entity"" annotations."
4847,TYPO3.Kickstart,Bug,"",Resolved,Could have,Lowercase package name causes an unexplained exception when using kickstart package,Daniel Hofstetter,Karsten Dambekalns,2010-10-20 05:48,"",1.0.0 alpha 7,2009-10-01,"","",100,2009-10-01 10:51,"","",2740450,"","","I'm currently following the ""Getting started"" tutorial and while creating my first package, I used, by accident, ""blog"" as package name (instead of ""Blog"" as in the tutorial):
<pre>
./flow3 kickstart package blog
</pre>
This causes the following error:
<pre>
Uncaught FLOW3 Exception #1220722210: The package key ""blog"" is invalid
thrown in file /home/dho/projects/flowtutorial/Packages/Framework/FLOW3/Classes/Package/Manager.php
in line 238
</pre>
It would be helpful to mention what the criteria are for a valid key. 

I'm using the ""Getting started"" package with flow3 alpha 4."
5833,TYPO3.Kickstart,Bug,"",Resolved,Should have,Inflection viewhelper doesn't work anymore,Robert Lemke,Karsten Dambekalns,2010-10-20 05:48,"",1.0.0 alpha 7,2009-12-22,"","",100,2009-12-22 12:24,"","",2740400,"","","While building models (and also kickstarting other types of classes) the placeholders in the Fluid template are not replaced by their real value anymore:

<pre>
/**
 * A {k:inflect.humanizeCamelCase(""{modelName}"")}
 *
 * @version $Id: $
 * @license http://www.gnu.org/licenses/gpl.html GNU General Public License, version 3 or later
 * @scope prototype
 * @entity
 */
class Paper {

	/**
	 * The {k:inflect.humanizeCamelCase(""title"" lowercase=""true"")}
	 * @var string
	 */
	protected $title;
</pre>

Maybe the view helpers don't work with the current Fluid API anymore?"
6316,TYPO3.Kickstart,Bug,"",Resolved,Should have,Outdated reference to RenderingContext causes exception,Karsten Dambekalns,Karsten Dambekalns,2010-10-20 05:48,"",1.0.0 alpha 8,2010-02-02,"","",100,2010-02-02 05:24,"","",2740500,"","","As reported by THomas Fritz:
<pre>
developer@wda ~/vhosts/flow3/www $ ./flow3 kickstart package Blog

Uncaught Exception in FLOW3 #1166550023: Object ""F3\Fluid\Core\Rendering\RenderingConfiguration"" is not registered.
thrown in file Packages/Framework/FLOW3/Classes/Object/ObjectFactory.php in line 97
</pre>"
6778,TYPO3.Kickstart,Bug,"",Resolved,Should have,Model Doc Comment incorrect,Michael Sauter,Christopher Hlubek,2010-10-20 05:48,"",1.0 alpha 13,2010-03-13,"","",0,2010-03-10 16:57,"","",2740550,"","","When creating models, the doc comment of the attribute accessors looks like this:
@* Get/Set the ModelName propertyName>@

Attached patch removes the erroneous &gt; sign in the template."
7676,TYPO3.Kickstart,Bug,"",Resolved,Must have,repository kickstarter create invalid PHP,Soren Malling,Karsten Dambekalns,2010-10-20 05:48,"","","","","",100,2010-05-05 16:10,"","",2740300,"","","Using FLOW3 1.0.0 Alpha 8

<pre>
./flow3 kickstart PhotoDatabase image
</pre>

created the following PHP, which is invalid due to missing {}

<pre>
class ImageRepository extends \F3\FLOW3\Persistence\Repository
</pre>

It should be 

<pre>
class ImageRepository extends \F3\FLOW3\Persistence\Repository {

}
</pre>

Sorry if this is fixed in SVN, but couldn't find any other issue on this one"
7726,TYPO3.Kickstart,Bug,"",Resolved,Should have,model kickstarter doesn't accept comma seperated model names,Soren Malling,Karsten Dambekalns,2010-10-20 05:48,"","",2010-05-09,"","",0,2010-05-09 11:25,"","",2740250,"","","TurtleJoe:flow3 sorenmalling$ ./flow3 kickstart controller PhotoDatabase Album,Photo
+ .../Packages/Application/PhotoDatabase/Classes/Controller/AlbumController.php
+ .../Templates/Album/index.html
+ .../Packages/Application/PhotoDatabase/Classes/Controller/PhotoController.php
+ .../Templates/Photo/index.html
TurtleJoe:flow3 sorenmalling$ ./flow3 kickstart model PhotoDatabase Album,Photo
+ .../Packages/Application/PhotoDatabase/Classes/Domain/Model/Album,Photo.php

Using comma seperated value when creating controller works perfectly, but using comma seperated values in model creates a file name [commaseperated values].php (as seen above)"
8177,TYPO3.Kickstart,Bug,"",Resolved,Must have,Wrong Template name,Patrick Kollodzik,"",2010-10-20 05:48,"","","","","",100,2010-06-11 15:03,"","",2740200,"","","Using FLOW3 Alpha 9

<pre>
./flow3 kickstart package DummyPackage
</pre>

The filename of the index template for the StandardController is in lowercase, wich will result in a 404 error.

If you follow the documention ""Getting Started"" the example in chapter 6.2 will not work."
11091,TYPO3.Kickstart,Bug,"",Resolved,Should have,Missing curly bracket on class statement,Michael Klapper,Karsten Dambekalns,2010-12-21 04:00,"",1.0 alpha 14,2010-11-26,"",1.00,100,2010-11-26 05:46,"","",2740650,"","","The generated class looks like:

<pre>
...

/**
 * A repository for TaskLists
 *
 * @package GTasks
 * @subpackage Domain
 * @license http://www.gnu.org/licenses/gpl.html GNU General Public License, version 3 or later
 */
class TaskListRepository extends \F3\FLOW3\Persistence\Repository 
?>
</pre>"
11597,TYPO3.Kickstart,Bug,"",Resolved,Should have,"When used in the Phoenix distributon, an exception is thrown (RenderingContext)",Karsten Dambekalns,Karsten Dambekalns,2010-12-21 04:00,"",1.0 alpha 14,2010-12-20,"","",100,2010-12-20 10:14,"","",2740600,"","","Uncaught Exception in FLOW3 #1264584588: Object ""F3\Fluid\Core\Rendering\RenderingContextInterface"" is not registered (or an interface without default implementation).
"
